,Id_Target,Id_Source,communityid_Target,communityid_Source,betweenness_centrality_Source,betweenness_centrality_Target
6173,266855812,23608974,2.0,3.0,3390.7511270000005,909183.2264719999
6176,266855812,38698216,2.0,3.0,7649.398647,909183.2264719999
6182,266855812,82679357,2.0,3.0,159557.154009,909183.2264719999
6199,266855812,427814660,2.0,3.0,20125.506104,909183.2264719999
6200,266855812,474555379,2.0,3.0,21286.166012,909183.2264719999
6201,266855812,509197992,2.0,3.0,2370.819942,909183.2264719999
6204,266855812,590232437,2.0,3.0,12600.114886,909183.2264719999
6205,266855812,634127491,2.0,3.0,181428.43676500002,909183.2264719999
6207,266855812,963149508,2.0,3.0,11584.84245,909183.2264719999
6209,266855812,1034988752,2.0,3.0,3188.82206,909183.2264719999
6212,266855812,1546707727,2.0,3.0,39581.03817,909183.2264719999
6214,266855812,1581508248,2.0,3.0,3188.82206,909183.2264719999
6216,266855812,2150171849,2.0,3.0,12728.514849,909183.2264719999
6218,266855812,2238104048,2.0,3.0,6245.244486,909183.2264719999
6220,266855812,2462297426,2.0,3.0,2855.582793,909183.2264719999
6221,266855812,2845747685,2.0,3.0,22363.246719,909183.2264719999
6226,266855812,4497993159,2.0,3.0,3188.82206,909183.2264719999
6228,266855812,709623799465938944,2.0,3.0,3188.82206,909183.2264719999
6230,266855812,717421242186338305,2.0,3.0,5370.536161999999,909183.2264719999
6235,266855812,881275595807653888,2.0,3.0,9753.29714,909183.2264719999
6240,266855812,912693462163644416,2.0,3.0,3188.82206,909183.2264719999
6243,266855812,966399088085389312,2.0,3.0,7247.510904000001,909183.2264719999
6245,266855812,1018130243805110272,2.0,3.0,7687.846392,909183.2264719999
6246,266855812,1116360718687690758,2.0,3.0,423396.39796100004,909183.2264719999
6247,266855812,1118193171064745985,2.0,1.0,94141.564213,909183.2264719999
6251,266855812,1151320679020498944,2.0,3.0,3917.2242159999996,909183.2264719999
6253,266855812,1178019071821877250,2.0,3.0,227959.78201300002,909183.2264719999
6254,266855812,1231044484261019648,2.0,3.0,14908.141033000002,909183.2264719999
6256,266855812,1294012499013054466,2.0,3.0,3390.7511270000005,909183.2264719999
6286,268832287,582828847,3.0,4.0,852.3055820000001,90685.89128899999
6296,269930134,28941139,3.0,1.0,5817.542697999999,262577.861812
6318,269930134,3618354350,3.0,1.0,5817.542697999999,262577.861812
6334,269930134,1446352422272528385,3.0,1.0,3781095.477936,262577.861812
6347,270570153,1446352422272528385,3.0,1.0,3781095.477936,64318.591966
6366,271073165,875672733752987649,1.0,2.0,3909.3868909999997,118099.936831
6436,272185225,2942980610,1.0,3.0,16971.839922,755256.1019369999
6595,273262205,596787864,4.0,1.0,1321371.241195,306018.266518
6685,276713213,105372011,1.0,4.0,18173.385682,350790.347259
6770,277332906,52350953,2.0,7.0,566939.8335470001,1933454.996833
